"Name","API Name","Instance Memory","vCPUs","GiB of Memory per vCPU","Instance Storage","Network Performance","Linux On Demand cost"
"G5 Graphics and Machine Learning GPU Quadruple Extra Large","g5.4xlarge","64.0 GiB","16 vCPUs","4.00 GiB/vCPU","600 GB                 NVMe SSD","Up to 25 Gigabit","$1.6240 hourly"
"C6G 12xlarge","c6g.12xlarge","96.0 GiB","48 vCPUs","2.00 GiB/vCPU","EBS only","20 Gigabit","$1.6320 hourly"
"M5AD Eight Extra Large","m5ad.8xlarge","128.0 GiB","32 vCPUs","4.00 GiB/vCPU","1200 GB                 (2 * 600 GB NVMe SSD)","Up to 10 Gigabit","$1.6480 hourly"
"F1 Double Extra Large","f1.2xlarge","122.0 GiB","8 vCPUs","15.25 GiB/vCPU","470 GB                 NVMe SSD","Up to 10 Gigabit","$1.6500 hourly"
"X2IEDN Double Extra Large","x2iedn.2xlarge","256.0 GiB","8 vCPUs","32.00 GiB/vCPU","237 GB                 NVMe SSD","Up to 25 Gigabit","$1.6672 hourly"
"X2IEZN Double Extra Large","x2iezn.2xlarge","256.0 GiB","8 vCPUs","32.00 GiB/vCPU","EBS only","Up to 25 Gigabit","$1.6680 hourly"
"X1E Double Extra Large","x1e.2xlarge","244.0 GiB","8 vCPUs","30.50 GiB/vCPU","240 GB                 SSD","Up to 10 Gigabit","$1.6680 hourly"
"C3 High-CPU Eight Extra Large","c3.8xlarge","60.0 GiB","32 vCPUs","1.88 GiB/vCPU","640 GB                 (2 * 320 GB SSD)","10 Gigabit","$1.6800 hourly"
"I2 Double Extra Large","i2.2xlarge","61.0 GiB","8 vCPUs","7.62 GiB/vCPU","1600 GB                 (2 * 800 GB SSD)","High","$1.7050 hourly"
"R7G Eight Extra Large","r7g.8xlarge","256.0 GiB","32 vCPUs","8.00 GiB/vCPU","EBS only","15 Gigabit","$1.7136 hourly"
"C5 High-CPU 9xlarge","c5d.9xlarge","72.0 GiB","36 vCPUs","2.00 GiB/vCPU","900 GB                 NVMe SSD","12 Gigabit","$1.7280 hourly"
"G4AD Eight Extra Large","g4ad.8xlarge","128.0 GiB","32 vCPUs","4.00 GiB/vCPU","1200 GB                 NVMe SSD","15 Gigabit","$1.7340 hourly"
"C7G 12xlarge","c7g.12xlarge","96.0 GiB","48 vCPUs","2.00 GiB/vCPU","EBS only","22.5 Gigabit","$1.7400 hourly"
"R5A Eight Extra Large","r5a.8xlarge","256.0 GiB","32 vCPUs","8.00 GiB/vCPU","EBS only","Up to 10 Gigabit","$1.8080 hourly"
"M5 General Purpose Eight Extra Large","m5d.8xlarge","128.0 GiB","32 vCPUs","4.00 GiB/vCPU","1200 GB                 (2 * 600 GB NVMe SSD)","10 Gigabit","$1.8080 hourly"
"R6A Eight Extra Large","r6a.8xlarge","256.0 GiB","32 vCPUs","8.00 GiB/vCPU","EBS only","12.5 Gigabit","$1.8144 hourly"
"C6IN Eight Extra Large","c6in.8xlarge","64.0 GiB","32 vCPUs","2.00 GiB/vCPU","EBS only","50 Gigabit","$1.8144 hourly"
"C6A 12xlarge","c6a.12xlarge","96.0 GiB","48 vCPUs","2.00 GiB/vCPU","EBS only","18.75 Gigabit","$1.8360 hourly"
"C6GD 12xlarge","c6gd.12xlarge","96.0 GiB","48 vCPUs","2.00 GiB/vCPU","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","$1.8432 hourly"
"R6GD Eight Extra Large","r6gd.8xlarge","256.0 GiB","32 vCPUs","8.00 GiB/vCPU","1900 GB                 NVMe SSD","12 Gigabit","$1.8432 hourly"
"C5A 12xlarge","c5a.12xlarge","96.0 GiB","48 vCPUs","2.00 GiB/vCPU","EBS only","12 Gigabit","$1.8480 hourly"
"M6G 12xlarge","m6g.12xlarge","192.0 GiB","48 vCPUs","4.00 GiB/vCPU","EBS only","20 Gigabit","$1.8480 hourly"
"H1 Eight Extra Large","h1.8xlarge","128.0 GiB","32 vCPUs","4.00 GiB/vCPU","8000 GB                 (4 * 2000 GB HDD)","10 Gigabit","$1.8720 hourly"
"M6ID Eight Extra Large","m6id.8xlarge","128.0 GiB","32 vCPUs","4.00 GiB/vCPU","1900 GB                 NVMe SSD","12.5 Gigabit","$1.8984 hourly"
"M5N Eight Extra Large","m5n.8xlarge","128.0 GiB","32 vCPUs","4.00 GiB/vCPU","EBS only","25 Gigabit","$1.9040 hourly"
"C5N 9xlarge","c5n.9xlarge","96.0 GiB","36 vCPUs","2.67 GiB/vCPU","EBS only","50 Gigabit","$1.9440 hourly"
"M7G 12xlarge","m7g.12xlarge","192.0 GiB","48 vCPUs","4.00 GiB/vCPU","EBS only","22.5 Gigabit","$1.9584 hourly"
